id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6Vwowb3QJ8zfN98GcP6xqg,Master Charge,Albert Collins,0.767,0.6809999999999999,3,-9.029,0,0.0705,0.0476,3.54e-05,0.0861,0.679,96.049,4.0
2x2wjJ5CB55MEmPGEwU6pS,Don't Leave Me,"Buddy Guy', 'Junior Wells",0.6659999999999999,0.1159999999999999,9,-13.911,1,0.0478,0.867,1.4e-05,0.0793,0.5379999999999999,108.968,3.0
6aEVf5lzeVyhMSMQCax7Wk,Working Overtime,Dave Hole,0.503,0.821,7,-9.737,1,0.0547,0.0076799999999999,0.0493,0.784,0.451,98.921,4.0
3N5250hWDoKzSCzjCsd7jM,Atlantis Part 2. - Sea of Antiquity,"Derek Sherinian', 'Brett Garsed', 'Tony Franklin', 'Virgil Donati",0.316,0.423,9,-13.54,1,0.0314,0.00223,0.885,0.515,0.0396,98.032,4.0
0JG8nF7X7Ehl6YpCm4BlSn,Just Dig In,Mr. Billy,0.746,0.614,9,-10.568,1,0.0282,0.0758,0.368,0.063,0.7809999999999999,100.023,4.0
1ZdPPX1IGF9WbQwCUAnbxg,Jealous Guy - Instrumental,Daniela Katzenberger,0.4629999999999999,0.4039999999999999,9,-8.663,1,0.0276,0.149,0.925,0.0974,0.2269999999999999,148.091,4.0
5eVeYMGMDxcpXcS7f2l1Lb,Yolanda,"Víctor Manuel', 'Pablo Milanés",0.508,0.4579999999999999,7,-8.329,1,0.0356,0.858,2.01e-05,0.934,0.3279999999999999,121.995,4.0
3tA0xcUlfdYD48E4MVI2z0,Reconsider Baby,Robin Trower,0.5710000000000001,0.637,0,-8.592,1,0.0473,0.1989999999999999,0.0112,0.0509,0.6829999999999999,117.885,3.0
0oLEmXLYKjSjRqJhL4u1Be,Tightrope,Mount Sims,0.31,0.379,6,-10.365,1,0.0291,0.182,0.545,0.175,0.0514,79.923,3.0
7bg1UfWdMgXCZwY4qKUgpa,Obvious (Pure and Simple mix),Cosmicity,0.563,0.4370000000000001,3,-10.992,1,0.0349,0.865,0.000487,0.297,0.305,88.97200000000002,4.0
2vMejvk2QrpGaMMbBgd9Gd,Evening Star,Judas Priest,0.406,0.7609999999999999,0,-7.294,1,0.0763,0.105,0.0,0.155,0.302,133.51,4.0
3c29WFwMOX5ciKKSFkzPLN,Stay with you tonight,Phil Lam,0.488,0.455,7,-7.381,1,0.0279999999999999,0.608,0.0,0.16,0.259,138.119,4.0
6ShcyY3Fx5FE1BZEROOB2e,The Capitol,Visqueen,0.397,0.933,2,-3.815,1,0.0441,0.0893,9.75e-05,0.381,0.769,173.99599999999995,4.0
3yku9qjo6DD65lzb8v34rl,Amaneci en Tus Brazos,Daniel Santos,0.7929999999999999,0.332,7,-10.856,1,0.0306,0.628,0.000212,0.321,0.73,108.74,4.0
7y3gzuIreXIHcRBe8k0NuK,Little Melonae,Art Blakey & The Jazz Messengers,0.5429999999999999,0.4539999999999999,10,-11.684,0,0.144,0.513,0.00311,0.302,0.589,178.93,4.0
1lTHHYcq9cDxWoHK0VSTj6,The Lifeboat Mutiny,Cherry Poppin' Daddies,0.631,0.4579999999999999,4,-11.262,1,0.0246,0.0985,0.0279,0.115,0.384,99.017,4.0
0nMBCnOX0GjaHEabq7X3Lp,Control,Stabbing Westward,0.496,0.895,7,-7.383999999999999,1,0.0331,1.3800000000000008e-05,0.1889999999999999,0.4589999999999999,0.226,110.223,4.0
0dWAeVun6lYzNRYfQ6TIEN,My Mother Was A Chinese Trapese Artist,The Decemberists,0.519,0.414,4,-8.817,0,0.0261,0.1009999999999999,2.04e-06,0.118,0.273,128.362,3.0
0GWAOD4UipCp44TmvIkq2L,Brody,Big Drill Car,0.498,0.823,2,-11.937,1,0.0586,0.000513,0.0,0.235,0.607,116.164,4.0
5KSPVntuXSDENRW0FJeXsW,The Sign of Fire,AOR,0.52,0.732,4,-10.32,0,0.0415,0.00156,0.0,0.0585,0.3929999999999999,120.035,4.0
0GoIH1LqYYi55zzC6VZq1U,Oh Babe,Colin James,0.51,0.838,0,-3.33,1,0.0605,0.207,1.67e-06,0.148,0.812,161.523,4.0
2ZSd1WBVsLLHi0ONw9KOuO,Gob Bots,µ-Ziq,0.62,0.974,1,-5.608,1,0.0642,0.00331,0.84,0.132,0.237,119.889,4.0
5yLeYL7JM2HcMMFP0KbPJm,Smile!,Dan Melchior's Broke Revue,0.326,0.685,2,-2.644,1,0.0415,1.26e-05,0.178,0.122,0.146,139.662,4.0
6EPaXxeWAeFbQFFYwMZhN3,Back In The Days,Fun Factory,0.716,0.518,5,-10.238,1,0.0379,0.363,1.32e-06,0.0548,0.6940000000000001,90.975,4.0
0XX4PDP8kl8y2Q72pDWHgV,Glas Und Tränen,Megaherz,0.595,0.8420000000000001,1,-2.984,1,0.0289999999999999,0.000432,0.0559,0.342,0.223,105.997,4.0
6EEOhwsU0cBnLiKO9RWYeQ,The Days Before Yesterday,Deru,0.596,0.696,5,-12.726,0,0.188,0.7120000000000001,0.923,0.57,0.337,199.866,4.0
0Dsj7Tg0O3elAwdWvllkyR,Action/Adventure,Andrew Bird,0.59,0.341,0,-13.39,1,0.0299,0.8440000000000001,0.000147,0.0876,0.387,115.273,4.0
5a1CkUfdOHXr0Qzvkffpsq,Holy Shit!,"Buck', 'Sole', 'Circus', 'Sixtoo",0.8320000000000001,0.752,6,-10.602,1,0.254,0.251,0.0,0.296,0.741,91.852,4.0
6qodhMsnxzT5AaWJvNm0pz,Both Sides Now,Dave Van Ronk,0.4629999999999999,0.246,1,-12.97,0,0.0344,0.918,0.371,0.688,0.142,88.194,4.0
2sboRY41vqp4SC8E2yPvTy,Shoot 'EM Up,Bone Thugs-N-Harmony,0.6940000000000001,0.288,10,-14.811,0,0.153,0.0992,4.92e-05,0.321,0.3989999999999999,151.989,4.0
1KGrqUuLCVUQAeQAh2OxzK,This Morning I Was Born Again,Slaid Cleaves,0.45,0.4529999999999999,2,-12.354,1,0.0437,0.595,0.000138,0.711,0.584,134.704,4.0
4Yj9Orcgt16yMgHs9rRg6s,Beinuni,"Zalman Goldstein', 'Yaron Gershovsky",0.579,0.135,0,-17.793,0,0.067,0.994,0.929,0.107,0.19,130.934,4.0
5c5TgfMy1Yr5zAkYUZrTWm,Sometime,Betty Harris,0.288,0.444,7,-7.691,0,0.0299,0.3989999999999999,0.000401,0.157,0.33,93.262,3.0
4MyLmkQOUBGAl0JbMniD3J,You Can't Hold Us Back,Atari Teenage Riot,0.43,0.97,6,-5.604,0,0.1159999999999999,0.000735,0.893,0.353,0.218,114.915,4.0
6nJgZy8CATEMz9PNRAJGDt,Low Lands,Gojira,0.382,0.83,10,-7.862999999999999,1,0.0456,0.00362,0.0575,0.0518,0.0557,98.179,4.0
0YVNm3c5VIuBABWTtVjxJB,"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha', 'Doja Cat",0.737,0.867,11,-2.259,0,0.0458,0.0398,0.0,0.32,0.506,98.05,4.0
0iS8bzfPT08NgcZkFrvWmd,"Oboe Concerto in A Minor, RV 461: II. Larghetto","Antonio Vivaldi', 'Emilia Csanky', 'Budapest Strings",0.146,0.0794,0,-21.89,1,0.0441,0.985,0.907,0.134,0.0738,55.834,4.0
1RnDx7gVwAIoOBDsEWRpLI,"Concerto for 2 Mandolins in G Major, RV 532: I. Allegro","Antonio Vivaldi', 'Bela Sztankovitz', 'Zoltan Tokos', 'Budapest Strings",0.565,0.125,2,-20.608,1,0.0389,0.954,0.943,0.28,0.7490000000000001,96.562,4.0
0dpA3S2i6JUAoX7bytVvlu,Dignity (feat. Beverly Jo Scott),"Deep Forest', 'Beverly Jo Scott",0.484,0.373,10,-11.368,0,0.037,0.052,0.0554,0.127,0.146,160.032,4.0
33H9eJRBnvVZt5cRXIssvm,Look At What We Made,Kindred The Family Soul,0.609,0.5429999999999999,10,-8.187999999999999,0,0.0873,0.373,0.0,0.13,0.631,146.95600000000005,4.0
5T8Uzjcnsb4FZvUVLqhP3d,All is not Well in this House,Downy Mildew,0.208,0.346,4,-14.457,0,0.036,0.0679,0.000167,0.0957,0.178,155.875,4.0
53d72wxs6an5TPgg8T9z4w,Momma Was an Opium-Smoker,Rasputina,0.348,0.748,5,-9.477,0,0.0837,0.606,0.289,0.133,0.913,178.356,4.0
4eSwShY3bnUg3EwdZwPmjR,Alle Sterne von Athen,Kristina Bach,0.539,0.763,10,-5.403,1,0.0263,0.37,0.0,0.089,0.87,91.164,4.0
0rVRdy8p2UV4KWhXVodRvE,Sail Away,Kristina Bach,0.387,0.675,4,-4.742,1,0.0578,0.381,1.09e-06,0.888,0.286,179.393,4.0
2LjAvXciE5RM2Kq4yv0te2,The Firebird (Original Version): Night. Kastchei's Enchanted Garden,"Igor Stravinsky', 'Esa-Pekka Salonen', 'Philharmonia Orchestra",0.171,0.00163,10,-44.231,1,0.0448,0.547,0.0373,0.144,0.0327,48.75899999999999,4.0
2D0cElb6UCvieVCivuZhOn,Lament For Coire An Easa,Sue Richards,0.4589999999999999,0.0653,7,-23.215,1,0.0573,0.983,0.917,0.108,0.0983,70.7,4.0
6GtzvFKZMet77zvYsmijio,Same Mistake,Krezip,0.57,0.596,7,-4.539,1,0.0253,0.000905,0.0,0.1989999999999999,0.2189999999999999,98.131,4.0
2DUfIwJnnLGIhpTJbWlRuo,Flawed Legacy,"Martin O'Donnell"", 'Michael Salvatori",0.8740000000000001,0.425,5,-11.427,1,0.0413,0.59,0.579,0.0935,0.7509999999999999,123.026,4.0
4PRlfsuWbWfVvU2RMZKp1R,If You Want to Be a Good Girl (Get Yourself a Bad Boy),Backstreet Boys,0.758,0.8690000000000001,9,-5.474,0,0.0568,0.146,0.0,0.0946,0.83,113.918,4.0
41LOL3Gwdu85uRBceDeW9K,"Bombtrack - Live at the Grand Olympic Auditorium, Los Angeles, CA - September 2000",Rage Against The Machine,0.239,0.993,11,-2.901,1,0.193,0.0381,1.16e-05,0.92,0.446,155.293,4.0
7urWBm2mGlAN6SnmSZmsEm,"Water Music: Suite No. 2 in D Major, HWV 349: IV. Lentement","George Frideric Handel', 'Les Violons du Roy', 'Bernard Labadie",0.237,0.0217,2,-24.394,1,0.0425,0.972,0.912,0.132,0.146,73.471,4.0
20xuU1xrhg3DeMVq6aA18P,Slevoh,Proem,0.392,0.601,9,-14.253,0,0.0728,0.196,0.568,0.141,0.623,152.07,5.0
4AN40Let6ybFuS9ZZgPBsT,I'm,Wolf + Lamb,0.804,0.614,2,-14.461,1,0.0632,0.0103,0.904,0.099,0.389,126.007,4.0
2XXIjx9TseSICvNhxyN7aD,Tactful Drunks,Shove,0.505,0.926,1,-6.4060000000000015,0,0.0438,0.00218,0.812,0.129,0.6859999999999999,102.603,4.0
2ZBO7LtLA18e7XeBNBS9pp,Prove It On Me Blues,Gaye Adegbalola,0.777,0.308,7,-11.153,1,0.0403,0.7859999999999999,0.0,0.1119999999999999,0.474,98.012,4.0
4nHKUEAm3nNidclVNIdIxr,No Black Or White,Joanna Connor,0.495,0.7879999999999999,7,-9.174,1,0.0375,0.0152,0.0,0.35,0.84,109.114,4.0
7AfVYPXVj8YFvZeZgGaaBd,All the Pretty Little Horses,Jen Midkiff,0.397,0.0339,7,-25.626,1,0.0623,0.987,0.93,0.0969999999999999,0.2,113.612,4.0
4nuTN047JcIzTq0CPib1vr,Do You Feel The Same? - 6th Borough Project Remix,"Hercules & Love Affair', '6th Borough Project",0.713,0.853,1,-8.906,0,0.0463,0.0513,0.077,0.2,0.457,113.992,4.0
1KObttfnpg7m4qSPK5f0b4,Sick Server,Jeff Tweedy,0.505,0.184,11,-16.425,1,0.118,0.7879999999999999,0.906,0.108,0.346,102.322,4.0
0WH5RDUkKY4KQdKibHNerj,Carol for the Innkeeper,Perl Haze,0.4039999999999999,0.215,2,-8.854,0,0.0415,0.7040000000000001,0.0,0.0846,0.0606,176.47,3.0
1ub7sOzZm3tNaTSJCxvjHG,"Ballade No. 3, Op. 47 in A-flat","Frédéric Chopin', 'Arthur Rubinstein",0.326,0.127,8,-17.918,1,0.0409999999999999,0.985,0.919,0.119,0.103,80.661,5.0
0WgaZaa6tO7uPNKNsMCDxz,U.G.L.Y.,Daphne & Celeste,0.8290000000000001,0.936,0,-3.1660000000000004,1,0.0435,0.123,0.000283,0.0849,0.974,130.0,4.0
5iP23diyFCkkixRl7trdpl,"Piano Sonata No. 12 in A-Flat Major, Op. 26 ""Funeral March"": IV. Allegro","Ludwig van Beethoven', 'Konstantin Scherbakov",0.289,0.19,3,-24.44400000000001,1,0.0288,0.976,0.908,0.223,0.812,140.05200000000002,4.0
135UPaNucXPVEKvwdRczfM,1-800-GHOST-DANCE,Hella,0.368,0.903,4,-4.978,1,0.084,6.69e-05,0.929,0.0646,0.296,118.296,4.0
0KJXHT2ipCMmoPMgjeHUSW,Tears of Rage,Karate,0.4429999999999999,0.575,11,-8.107000000000001,1,0.0307,0.0106,0.00108,0.154,0.387,130.983,4.0
1XyFIbri1we1lQtE4omidU,O Woe Is Me,Anna Callahan,0.409,0.104,5,-17.135,0,0.0316,0.976,0.00401,0.11,0.17,98.404,4.0
5CY71rLmQvXLxD4Kbt0hjQ,Manitas,Tristeza,0.239,0.589,7,-8.433,1,0.0353,0.019,0.942,0.0946,0.2019999999999999,142.6,4.0
6fnmgJVl7fifyP3EBO4qEl,Ashokan Farewell,Misty River,0.216,0.451,2,-7.907999999999999,1,0.0409,0.0854,0.16,0.667,0.3289999999999999,107.513,3.0
6OiNQcexERrby3qee7pAKl,The Trees They Do Grow High,Misty River,0.4479999999999999,0.217,1,-12.877,0,0.0302,0.667,1.5399999999999998e-05,0.118,0.4,74.863,4.0
5VHqlnUfnP03bBFBNRczmx,Wilbur,Dietiphobia,0.506,0.883,7,-10.444,1,0.0439,0.0243,0.7240000000000001,0.316,0.4,125.061,4.0
1eHmQ3wa2gNTiYE5mcgfFb,Ewc4,Hrvatski,0.46,0.988,10,-6.307,1,0.0399,0.0305,0.894,0.0775,0.555,97.662,4.0
4u9MRIS6GYCbQQKgxIMiNG,"And All I've Loved, I've Loved Alone",Grey Eye Glances,0.395,0.175,2,-13.732,0,0.0288,0.856,0.0,0.0878,0.2269999999999999,102.028,3.0
0fpVsdhxofrLCZL1CWETxa,Beware,Big Pun,0.623,0.894,5,-4.914,1,0.3,0.309,2e-05,0.358,0.2339999999999999,92.054,4.0
1GxprusCC1beN0fSIZSFgz,Jump 'n Shout - Stanton Warriors Remix,"Basement Jaxx', 'Stanton Warriors",0.799,0.918,10,-8.626,0,0.122,0.0115,0.0013,0.0174,0.8440000000000001,130.018,4.0
2efZQKjTK7GEllaIaqjlUf,We Don't Care (featuring Cuban Link) - Explict,"Big Pun', 'Cuban Link",0.52,0.7340000000000001,6,-5.676,0,0.3289999999999999,0.0228,0.0,0.0879,0.528,169.975,4.0
1f1vAfdmfcT33zivIgAUbn,Laughing At You (feat. Tony Sunshine),"Big Pun', 'Tony Sunshine",0.777,0.71,2,-3.855,1,0.07,0.0985,0.0,0.351,0.271,96.001,4.0
5oEsmfPLuqvpjAsE9NlpQC,Life is an Accident,Small Potatoes,0.759,0.38,0,-12.298,1,0.0606,0.634,0.0,0.0671,0.86,151.89,4.0
2NOcizavBguP4BimiiLmR4,The Maid of Llanwellyn / Emma & Jamie's Wedding,The Poozies,0.253,0.0763,1,-16.79,0,0.0345,0.946,0.000156,0.12,0.149,108.511,4.0
2pQ9jTi8NQknkgtiRrtkgy,Freezepop Forever (Ionian Remix by the Duke),Freezepop,0.879,0.633,0,-7.927,1,0.0663,0.0865,1.0800000000000003e-05,0.1369999999999999,0.6859999999999999,100.015,4.0
35ynj3TYFT7oocWl6pmEgj,Sleep,Stabbing Westward,0.484,0.855,11,-10.54,1,0.0848,0.00274,0.3429999999999999,0.267,0.769,172.666,4.0
1UjtFRZFv7KdbyVeduHRTI,Noch Bist Du Klein,"Lys Assia', 'Tonhalle Orchester Zürich",0.397,0.2189999999999999,9,-10.781,1,0.04,0.966,2.4e-06,0.144,0.41,166.21900000000005,5.0
0oNQitW8WWt9162iNcShjG,This Beat Is,"Superchumbo', 'Will Brett",0.87,0.916,6,-6.039,1,0.0451,0.000587,0.3379999999999999,0.154,0.3979999999999999,127.987,4.0
3CMnLvFA1KacpzrghRlmzQ,Looking Lost,The Posies,0.436,0.7909999999999999,4,-7.4860000000000015,0,0.0548,3.21e-05,0.8909999999999999,0.052,0.633,122.904,4.0
00hMMee2IHhJ6juvBHABCp,Grow,The Posies,0.511,0.573,7,-8.782,1,0.0296,0.00183,0.000403,0.27,0.308,123.206,4.0
3sGnCwlpoQZ4RF9ifIgDbq,Dragon Lady,Blue Öyster Cult,0.386,0.779,9,-10.239,0,0.0503,0.0371,0.0,0.599,0.884,181.969,4.0
6VTZIqYQK6fZKLTh5M5rVE,Suite from No Exit in Six Parts: Part IV,Vladimir Ussachevsky,0.288,0.292,10,-23.0,1,0.063,0.386,0.872,0.263,0.0327,71.02,3.0
5YZCnoxmU35FaXpQqY9KuG,Alphabet Town,Elliott Smith,0.493,0.287,4,-12.733,0,0.0279999999999999,0.0902,0.000658,0.0927,0.26,77.744,4.0
6uTNqfidhx9lFC80Jb9ZMv,Dream Lover,Big Star,0.35,0.294,0,-10.856,1,0.0292,0.888,0.0176,0.145,0.0461,117.959,4.0
6zq4HLkcPrUmq7kB3cSnvd,ST 100/6 [Alternate Mix],Big Star,0.474,0.271,2,-10.79,1,0.0295,0.589,3.2299999999999986e-05,0.122,0.489,177.232,4.0
0QyruYRZf8akaFw1nSg6h0,Gone,Hate Dept.,0.527,0.903,10,-7.228,0,0.0623,0.00045,0.000558,0.0901,0.6709999999999999,140.08,4.0
5HV9KUAGmwxbgeREBmlZLq,Das Licht Am Ende Der Welt,Megaherz,0.5920000000000001,0.648,1,-8.455,0,0.04,0.00611,0.0,0.0289,0.414,148.014,4.0
6WfXiU41Pf6GcOwDjrhWMW,Co-Co (ho chi kaka ho) - Radio Version,Wolfgang Petry,0.7090000000000001,0.88,11,-4.634,1,0.0416,0.165,0.0,0.37,0.8320000000000001,127.51,4.0
19bn7JI9ny9BRmiGLVSyZl,Nickel Song,"Papa M', 'Christina Rosenvinge",0.44,0.176,9,-15.819,1,0.0454,0.8490000000000001,0.0044,0.113,0.213,121.729,3.0
2v60Hapqi1JUuf4pkU15a1,Männersache,Rainhard Fendrich,0.633,0.385,0,-8.449,1,0.0298,0.774,7.62e-05,0.1169999999999999,0.2269999999999999,136.842,4.0
4NoliVMUQ0Doqs7EqOpkLc,Not Bad For A Bartender,Gretchen Wilson,0.7170000000000001,0.614,6,-5.888,1,0.0281,0.417,8.62e-05,0.178,0.669,104.972,4.0
2ZKPdefFCHnnP6hcIEZrSR,Home for the Holidays,The dB's,0.526,0.813,1,-5.577000000000001,0,0.0381,0.0461,1.04e-06,0.177,0.853,103.948,4.0
4ixUpYc5bVROublVcxVpUV,Blink - Remix By Razed In Black,Regenerator,0.502,0.982,6,-7.419,0,0.042,2.9100000000000013e-05,0.634,0.33,0.298,136.96,4.0
09pbBlg3e9h5cXPnmpv68n,Ox Conservatory,Deceptikon,0.696,0.47,9,-8.566,0,0.0366,0.000731,0.8170000000000001,0.0864,0.0392,102.992,4.0
